Student_ID,Math_Score,English_Score,Science_Score,Social_Studies_Score,Attendance_Percentage,Study_Hours_Per_Week,Average_Score,Pass_Status,Grade
STU0478,69,91,100,42,94,22.4,75.5,Pass,B
STU0479,100,43,97,95,52,14.9,83.75,Pass,A
STU0480,43,46,43,84,76,9.7,54.0,Pass,D
STU0481,73,100,75,70,99,27.0,79.5,Pass,B
STU0482,76,96,76,47,92,6.9,73.75,Pass,B
STU0483,82,100,100,99,89,31.2,95.25,Pass,A
STU0484,48,99,97,98,87,16.1,85.5,Pass,A
STU0485,100,91,100,57,82,5.0,87.0,Pass,A
STU0486,58,100,50,67,77,22.9,68.75,Pass,C
STU0487,80,85,85,68,50,6.6,79.5,Pass,B
STU0488,41,44,70,44,57,14.7,49.75,Pass,F
STU0489,79,76,100,100,86,29.7,88.75,Pass,A
STU0490,100,73,100,85,81,7.2,89.5,Pass,A
STU0491,76,75,73,59,97,34.4,70.75,Pass,B
STU0492,58,84,61,97,92,5.1,75.0,Pass,B
STU0493,100,55,79,83,86,13.6,79.25,Pass,B
STU0494,94,100,47,100,53,30.9,85.25,Pass,A
STU0495,79,76,62,70,79,16.1,71.75,Pass,B
STU0496,55,89,97,78,55,8.6,79.75,Pass,B
STU0497,81,55,68,100,95,17.6,76.0,Pass,B
STU0498,100,92,90,45,68,14.5,81.75,Pass,A
STU0499,89,90,96,84,81,34.5,89.75,Pass,A
STU0500,51,44,90,37,58,16.0,55.5,Pass,D
